Sector,"Year
2020","Year
2019","Year
2018","Year
2017","Year
2016","Year
2015","Year
2014","Year
2013","Year
2012","Year
2011","Year
2010","Year
2009","Year
2008","Year
2007","Year
2006","Year
2005","Year
2004","Year
2003","Year
2002","Year
2001","Year
2000","Year
1999","Year
1998","Year
1997","Year
1996","Year
1995","Year
1994","Year
1993","Year
1992","Year
1991","Year
1990",Percent share 2000,Percent share 2010,Percent share 2020
Sales (megawatthours),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , 
Residential,"1,464,605,046","1,440,288,909","1,469,093,059","1,378,647,742","1,411,058,153","1,404,096,499","1,407,208,311","1,394,812,129","1,374,514,708","1,422,801,093","1,445,708,403","1,364,758,153","1,380,661,745","1,392,240,996","1,351,520,036","1,359,227,107","1,291,981,578","1,275,823,910","1,265,179,869","1,201,606,593","1,192,446,491","1,144,923,069","1,130,109,120","1,075,880,098","1,082,511,751","1,042,501,471","1,008,481,682","994,780,818","935,938,788","955,417,350","924,018,699",34.9,38.5,39.4
Commercial,"1,287,439,583","1,360,876,555","1,381,754,845","1,352,887,694","1,367,191,386","1,360,751,527","1,352,158,263","1,337,078,777","1,327,101,196","1,328,057,439","1,330,199,364","1,306,852,524","1,336,133,485","1,336,315,196","1,299,743,695","1,275,079,020","1,230,424,731","1,198,727,601","1,104,496,607","1,083,068,516","1,055,232,090","1,001,995,720","979,400,928","928,632,774","887,445,174","862,684,775","820,269,462","794,573,370","761,270,543","765,663,613","751,026,562",30.8,35.4,34.6
Industrial,"959,082,028","1,002,352,849","1,000,672,553","984,297,945","976,715,181","986,507,732","997,576,138","985,351,874","985,713,854","991,315,564","971,221,189","917,416,468","1,009,516,178","1,027,831,925","1,011,297,566","1,019,156,065","1,017,849,532","1,012,373,247","990,237,631","996,609,310","1,064,239,393","1,058,216,608","1,051,203,115","1,038,196,892","1,033,631,379","1,012,693,350","1,007,981,245","977,164,250","972,713,990","946,583,391","945,521,695",31.1,25.9,25.8
Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105,551,904","113,173,685","109,496,292","106,951,684","103,517,589","102,900,664","97,538,719","95,406,993","97,830,475","94,943,902","93,442,150","94,338,686","91,987,709",3.2,0,0
Transportation,"6,547,824","7,632,150","7,664,804","7,522,593","7,496,910","7,636,632","7,757,555","7,625,041","7,320,028","7,672,084","7,712,412","7,767,989","7,653,211","8,172,595","7,357,543","7,506,321","7,223,642","6,809,728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.2
Total,"3,717,674,481","3,811,150,463","3,859,185,261","3,723,355,974","3,762,461,630","3,758,992,390","3,764,700,267","3,724,867,821","3,694,649,786","3,749,846,180","3,754,841,368","3,596,795,134","3,733,964,619","3,764,560,712","3,669,918,840","3,660,968,513","3,547,479,483","3,493,734,486","3,465,466,011","3,394,458,104","3,421,414,266","3,312,087,081","3,264,230,752","3,145,610,428","3,101,127,023","3,013,286,589","2,934,562,864","2,861,462,340","2,763,365,449","2,762,003,040","2,712,554,665",100,100,100
Revenue (thousand dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , 
Residential,"192,663,208","187,436,037","189,032,969","177,661,167","177,076,738","177,623,623","176,178,008","169,130,640","163,280,360","166,713,948","166,778,041","157,043,560","155,496,476","148,294,912","140,582,350","128,392,676","115,577,148","111,248,934","106,833,575","103,157,860","98,209,387","93,482,514","93,360,129","90,703,945","90,503,156","87,609,598","84,552,320","82,813,824","76,848,356","76,827,977","72,378,406",42.1,45.2,48.9
Commercial,"136,372,272","145,279,763","147,425,170","144,241,940","142,642,502","144,781,453","145,253,154","137,188,490","133,898,441","135,926,713","135,553,746","132,747,002","137,035,998","128,903,239","122,913,884","110,521,623","100,546,200","96,263,394","87,117,379","85,741,485","78,405,326","72,770,751","72,574,686","70,496,807","67,828,638","66,364,681","63,395,592","61,521,269","58,342,561","57,655,250","55,116,676",33.6,36.7,34.6
Industrial,"63,955,556","68,284,892","69,218,432","67,690,702","66,068,075","68,165,883","70,854,754","67,933,816","65,761,258","67,605,690","65,772,007","62,670,350","70,230,879","65,711,939","62,307,708","58,445,282","53,477,062","51,740,930","48,335,857","50,292,938","49,369,488","46,846,124","47,049,872","47,023,495","47,536,427","47,175,456","48,069,063","47,357,145","46,993,176","45,737,187","44,856,817",21.2,17.8,16.2
Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7,123,700","8,150,812","7,179,197","6,795,622","6,863,447","7,110,100","6,741,353","6,567,156","6,688,994","6,527,951","6,296,219","6,138,289","5,890,881",3.1,0,0
Transportation,"648,385","737,452","743,609","728,456","721,729","770,510","810,494","804,792","747,421","802,743","814,346","828,351","819,757","792,469","702,025","643,240","518,816","513,595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.2
Total,"393,639,421","401,738,144","406,420,180","390,322,265","386,509,044","391,341,468","393,096,410","375,057,738","363,687,480","371,049,095","368,918,140","353,289,264","363,583,111","343,702,559","326,505,967","298,002,821","270,119,226","259,766,853","249,410,511","247,343,095","233,163,400","219,896,011","219,848,134","215,334,347","212,608,574","207,716,891","202,705,969","198,220,189","188,480,312","186,358,703","178,242,780",100,100,100
Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , 
Residential,"136,682,001","135,249,616","133,893,321","132,579,747","131,068,760","129,811,718","128,680,416","127,777,153","126,832,343","126,143,072","125,717,935","125,208,829","125,037,837","123,949,916","122,471,071","120,760,839","118,763,768","117,280,481","116,622,037","114,890,240","111,717,711","110,383,238","109,048,343","107,065,589","105,343,005","103,917,312","102,320,846","100,860,071","99,512,728","98,295,518","97,094,514", , , 
Commercial,"18,848,813","18,694,240","18,605,393","18,359,427","18,148,353","17,985,690","17,853,995","17,679,562","17,729,029","17,638,062","17,674,338","17,562,235","17,582,382","17,377,219","17,172,499","16,871,940","16,606,783","16,549,519","15,333,700","14,867,490","14,349,067","14,073,764","13,887,066","13,542,374","13,181,065","12,949,365","12,733,153","12,526,377","12,367,205","12,178,694","12,081,942", , , 
Industrial,"992,311","954,222","840,321","840,329","838,059","835,536","839,212","831,790","732,385","727,920","747,747","757,537","774,808","793,767","759,604","733,862","747,600","713,221","601,744","571,463","526,554","552,690","539,903","563,223","586,198","580,626","583,935","553,231","547,990","518,272","525,486", , , 
Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,066,554","1,030,046","974,185","935,311","932,838","951,863","893,884","882,422","850,770","795,298","857,614","887,499","858,800", , , 
Transportation,83,83,83,86,86,78,79,75,83,92,239,704,726,750,791,518,"1,025","1,127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, , , 
Total,"156,523,208","154,898,161","153,339,118","151,779,589","150,055,258","148,633,022","147,373,702","146,288,580","145,293,840","144,509,146","144,140,259","143,529,305","143,395,753","142,121,652","140,403,965","138,367,159","136,119,176","134,544,348","133,624,035","131,359,239","127,567,517","125,945,003","124,408,150","122,123,049","120,004,152","118,329,725","116,488,704","114,734,977","113,285,537","111,879,983","110,560,742", , , 
Average price to ultimate customers (cents/kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , 
Residential,13.15,13.01,12.87,12.89,12.55,12.65,12.52,12.13,11.88,11.72,11.54,11.51,11.26,10.65,10.4,9.45,8.95,8.72,8.44,8.58,8.24,8.16,8.26,8.43,8.36,8.4,8.38,8.32,8.21,8.04,7.83, , , 
Commercial,10.59,10.68,10.67,10.66,10.43,10.64,10.74,10.26,10.09,10.24,10.19,10.16,10.26,9.65,9.46,8.67,8.17,8.03,7.89,7.92,7.43,7.26,7.41,7.59,7.64,7.69,7.73,7.74,7.66,7.53,7.34, , , 
Industrial,6.67,6.81,6.92,6.88,6.76,6.91,7.1,6.89,6.67,6.82,6.77,6.83,6.96,6.39,6.16,5.73,5.25,5.11,4.88,5.05,4.64,4.43,4.48,4.53,4.6,4.66,4.77,4.85,4.83,4.83,4.74, , , 
Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75,7.2,6.56,6.35,6.63,6.91,6.91,6.88,6.84,6.88,6.74,6.51,6.4, , , 
Transportation,9.9,9.66,9.7,9.68,9.63,10.09,10.45,10.55,10.21,10.46,10.56,10.66,10.71,9.7,9.54,8.57,7.18,7.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, , , 
Total,10.59,10.54,10.53,10.48,10.27,10.41,10.44,10.07,9.84,9.9,9.83,9.82,9.74,9.13,8.9,8.14,7.61,7.44,7.2,7.29,6.81,6.64,6.74,6.85,6.86,6.89,6.91,6.93,6.82,6.75,6.57, , , 
"U.S. Energy Information Administration, Form EIA-861, Annual Electric Power Industry Report.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
