State,CO2,CH4,N2O,CO2e,Annual NOX,Ozone Season NOX,SO2
AK,960.7,0.082,0.011,966.1,6.5,6.4,0.6
AL,717.8,0.049,0.007,721.1,0.2,0.3,0.1
AR,946,0.077,0.011,951.3,0.5,0.6,0.9
AZ,734.2,0.042,0.006,737,0.4,0.4,0.2
CA,451.5,0.026,0.003,453.1,0.4,0.4,0
CO,"1,212.20",0.104,0.015,"1,219.20",0.7,0.6,0.3
CT,526.7,0.05,0.006,529.8,0.2,0.2,0
DC,800.1,0.018,0.002,801.1,2.6,2.4,0
DE,753.6,0.024,0.003,755,0.2,0.3,0.1
FL,839,0.049,0.006,842.2,0.3,0.3,0.2
GA,719.8,0.055,0.008,723.5,0.3,0.2,0.2
HI,"1,515.20",0.16,0.024,"1,526.50",4.8,4.7,6
IA,611.1,0.06,0.009,615.2,0.4,0.4,0.6
ID,212.8,0.008,0.001,213.4,0.2,0.2,0.1
IL,553.2,0.048,0.007,556.4,0.2,0.3,0.7
IN,"1,539.90",0.141,0.02,"1,549.50",1.1,1,0.9
KS,798.3,0.087,0.013,804.2,0.5,0.5,0.2
KY,"1,672.60",0.18,0.026,"1,684.90",0.9,0.8,1.2
LA,759.8,0.029,0.004,761.7,0.6,0.7,0.5
MA,871.2,0.137,0.018,879.9,0.7,0.6,0.2
MD,642.2,0.047,0.006,645.3,0.2,0.2,0.2
ME,219.4,0.128,0.019,228.2,0.4,0.5,0.3
MI,932.5,0.083,0.012,938,0.7,0.8,0.7
MN,765,0.078,0.011,770.4,0.5,0.5,0.2
MO,"1,606.10",0.18,0.026,"1,618.40",1.4,1.4,2.6
MS,891.8,0.035,0.005,894.1,0.4,0.5,0.1
MT,905.7,0.101,0.015,912.6,0.7,0.6,1
NC,644.8,0.054,0.008,648.4,0.4,0.4,0.2
ND,"1,377.50",0.155,0.023,"1,388.10",1.4,1.4,1.6
NE,"1,191.60",0.132,0.019,"1,200.70",1,1,2.2
NH,244.1,0.059,0.008,247.9,0.1,0.1,0
NJ,490.1,0.035,0.004,492.3,0.3,0.2,0.1
NM,"1,252.80",0.105,0.015,"1,259.90",0.8,0.8,0.2
NV,715.1,0.025,0.003,716.6,0.5,0.6,0.1
NY,415,0.028,0.004,416.7,0.2,0.2,0
OH,"1,246.50",0.101,0.014,"1,253.30",0.7,0.6,1.3
OK,706.7,0.03,0.004,708.7,0.4,0.6,0.2
OR,340.4,0.019,0.003,341.6,0.4,0.3,0.1
PA,694.6,0.044,0.006,697.5,0.3,0.3,0.3
PR,"1,602.20",0.085,0.014,"1,608.50",3.9,3.9,4.3
RI,826.7,0.016,0.002,827.6,0.7,0.6,0
SC,510.9,0.043,0.006,513.9,0.2,0.2,0.1
SD,338.6,0.029,0.004,340.6,0.1,0.1,0.1
TN,568.1,0.049,0.007,571.4,0.2,0.3,0.3
TX,854,0.053,0.007,857.5,0.5,0.5,0.6
UT,"1,554.90",0.16,0.023,"1,565.80",1.6,1.6,0.6
VA,642.5,0.044,0.006,644.8,0.3,0.3,0.1
VT,22.9,0.115,0.015,30.3,0.1,0.1,0
WA,211.9,0.02,0.003,213.3,0.2,0.1,0
WI,"1,184.90",0.106,0.015,"1,192.00",0.5,0.5,0.2
WV,"1,909.70",0.221,0.032,"1,924.70",1.1,1.1,1.2
WY,"1,975.60",0.212,0.031,"1,990.10",1.3,1.4,1.3
U.S.,818.3,0.065,0.009,822.6,0.5,0.5,0.5
,,,,,,,
